Tmin,Tmax,T,RH,U,Rain
3.1,10.5,7.748958333333334,84.88541666666667,0.09375,0.0
0.4,11.1,5.767708333333334,88.47916666666667,5.166666666666667,1.0
3.7,10.1,7.622916666666666,90.51041666666669,0.6875,0.0
7.4,10.7,9.142708333333331,88.38541666666667,2.875,0.0
0.8,7.2,2.717708333333333,93.95833333333331,1.1666666666666667,0.0
-1.9,12.8,5.191666666666666,88.07291666666667,3.1979166666666665,0.0
4.5,11.5,7.6833333333333345,87.39583333333333,0.0208333333333333,0.0
3.7,13.0,8.082291666666668,90.08333333333331,0.3645833333333333,0.0
7.9,13.3,10.477083333333333,83.11458333333333,8.46875,1.0
4.3,9.9,8.110416666666666,87.70833333333333,5.864583333333333,1.0
1.3,9.7,5.371875,81.28125,0.5520833333333334,0.0
-2.9,9.4,2.79375,85.53125,0.3020833333333333,0.0
-1.9,9.6,3.325,86.51041666666667,3.9791666666666665,1.0
6.3,12.2,9.398958333333333,80.94791666666667,17.333333333333332,0.0
7.2,13.4,10.439583333333331,80.80208333333333,10.479166666666666,0.0
9.1,13.2,10.560416666666669,84.88541666666667,15.625,0.0
5.5,10.7,8.347916666666668,87.64583333333333,6.375,1.0
2.1,10.1,6.083333333333333,80.94791666666667,2.28125,1.0
1.6,8.7,5.53125,65.90625,3.1875,0.0
-2.9,5.7,1.965625,75.75,0.71875,0.0
2.1,8.2,5.59375,82.42708333333333,1.9791666666666667,0.0
6.7,12.9,8.894791666666666,88.63541666666667,3.40625,1.0
8.1,13.0,11.432291666666666,86.33333333333333,5.333333333333333,1.0
8.1,13.0,10.164583333333333,86.92708333333333,7.541666666666667,0.0
6.6,12.2,9.53125,87.88541666666667,7.666666666666667,0.0
4.8,11.6,7.83125,91.30208333333331,1.6458333333333333,1.0
2.0,10.3,6.095833333333334,92.04166666666669,2.0,1.0
5.2,12.8,9.009375,86.48958333333333,7.0,1.0
6.8,12.9,9.378125,82.72916666666667,1.5833333333333333,0.0
8.4,14.3,11.111458333333331,92.3125,0.875,1.0
9.4,17.3,12.598958333333334,89.61458333333333,1.0520833333333333,1.0
7.0,16.6,11.903124999999998,89.69791666666667,5.09375,1.0
8.3,21.3,14.110416666666666,82.16666666666667,1.8229166666666667,0.0
9.6,20.1,14.166666666666666,75.875,1.375,0.0
5.3,14.5,10.409375,75.15625,10.416666666666666,1.0
3.1,10.3,6.172916666666666,76.9375,1.5416666666666667,0.0
0.0,11.3,6.338541666666667,78.97916666666667,9.114583333333334,0.0
8.2,12.8,10.167708333333332,80.64583333333333,13.78125,0.0
5.7,14.2,9.95625,82.17708333333333,5.5625,0.0
5.6,14.6,10.480208333333332,85.53125,8.177083333333334,1.0
9.6,15.0,13.009375,85.19791666666667,8.34375,0.0
8.7,13.1,11.637499999999998,84.13541666666667,12.010416666666666,1.0
5.5,12.5,9.126041666666667,82.875,1.6875,0.0
5.1,17.0,10.485416666666666,77.51041666666667,6.302083333333333,0.0
6.0,14.7,10.394791666666666,80.52083333333333,2.1354166666666665,0.0
3.3,15.4,9.3625,79.44791666666667,9.03125,1.0
9.7,14.5,12.185416666666669,84.8125,18.39583333333333,0.0
7.7,13.3,10.653125,88.03125,9.791666666666666,1.0
4.4,12.3,8.397916666666667,77.59375,4.708333333333333,1.0
5.0,13.1,8.345833333333333,79.51041666666667,6.052083333333333,0.0
1.9,17.8,9.170833333333333,70.65625,2.770833333333333,0.0
4.9,12.0,8.446315789473683,85.07368421052631,2.6210526315789475,0.0
1.5,15.7,8.411458333333334,79.94791666666667,1.0833333333333333,1.0
3.3,17.1,9.158333333333331,83.47916666666667,1.4895833333333333,0.0
1.3,17.2,8.710416666666665,82.40625,1.65625,0.0
6.6,13.5,9.79375,81.84375,12.5,1.0
6.4,9.4,7.435416666666666,86.65625,13.635416666666666,1.0
5.6,13.1,9.09375,88.60416666666667,12.6875,1.0
7.1,15.3,10.667708333333332,86.59375,3.583333333333333,1.0
6.6,14.5,10.683333333333332,77.34375,6.28125,1.0
5.3,11.4,8.625,81.08333333333333,19.75,1.0
4.8,11.2,6.217894736842106,90.45263157894736,7.073684210526316,1.0
4.8,13.4,8.675,93.17708333333331,5.28125,1.0
7.5,13.3,10.401041666666666,87.22916666666667,12.40625,1.0
4.1,8.4,6.380208333333333,86.96875,15.697916666666666,1.0
4.6,11.6,8.008333333333333,80.29166666666667,10.260416666666666,0.0
7.2,14.2,10.317708333333334,83.08333333333333,5.916666666666667,1.0
7.6,11.4,9.136458333333334,83.36458333333333,14.104166666666666,1.0
7.7,15.3,10.903124999999998,81.77083333333333,7.0625,1.0
7.8,16.5,11.476041666666667,83.07291666666667,1.3333333333333333,0.0
7.9,14.3,11.140625,89.125,3.0729166666666665,1.0
6.9,13.3,10.108333333333334,73.45833333333333,3.6354166666666665,1.0
3.7,12.9,8.559375000000001,72.65625,3.583333333333333,0.0
2.6,14.7,9.817708333333334,79.03125,15.041666666666666,0.0
10.0,14.5,11.435416666666669,87.08333333333333,10.583333333333334,1.0
10.4,13.8,12.107291666666669,84.76041666666667,4.239583333333333,0.0
6.8,20.5,13.922916666666666,75.375,1.4895833333333333,0.0
10.8,20.0,14.35625,59.645833333333336,11.78125,0.0
9.8,18.5,13.314583333333331,61.739583333333336,14.072916666666666,0.0
9.5,17.9,12.909375000000002,71.39583333333333,10.958333333333334,0.0
8.7,18.5,13.054166666666667,71.29166666666667,6.604166666666667,0.0
9.4,16.6,12.352083333333336,77.64583333333333,8.395833333333334,0.0
8.0,17.0,11.480208333333332,70.54166666666667,10.104166666666666,0.0
6.6,15.6,10.484375,53.69791666666666,9.34375,0.0
3.3,9.5,6.825,76.92708333333333,5.489583333333333,0.0
2.0,14.8,8.560416666666667,66.44791666666667,3.6458333333333335,0.0
6.6,17.2,12.038541666666667,57.864583333333336,3.8541666666666665,0.0
4.2,14.5,9.614583333333334,71.48958333333333,10.145833333333334,0.0
2.3,6.8,4.175,81.03125,6.916666666666667,1.0
3.0,16.3,8.885416666666666,76.51041666666667,4.3125,0.0
6.8,13.6,11.065625000000002,74.13541666666667,13.6875,0.0
5.0,14.3,10.015625,73.54166666666667,3.9270833333333335,0.0
5.9,15.1,10.417708333333332,62.60416666666666,8.333333333333334,0.0
3.0,19.5,11.711458333333336,61.489583333333336,8.010416666666666,0.0
10.9,19.9,14.676041666666665,54.03125,17.572916666666668,0.0
11.7,18.2,14.326041666666669,51.208333333333336,13.21875,0.0
11.7,18.7,14.584375,55.72916666666666,13.489583333333334,1.0
11.8,20.6,15.019791666666665,66.09375,9.291666666666666,0.0
8.1,22.8,16.019791666666666,46.989583333333336,6.15625,0.0
11.0,24.0,16.756249999999998,48.97916666666666,6.90625,0.0
10.8,21.3,15.460416666666664,70.11458333333333,9.3125,0.0
10.9,20.0,14.909375,73.8125,7.760416666666667,0.0
10.7,16.4,13.273958333333336,78.85416666666667,8.71875,1.0
8.6,23.5,15.486458333333331,66.46875,1.6979166666666667,1.0
12.5,20.2,15.666666666666666,62.78125,18.17708333333333,0.0
12.7,19.3,15.554166666666664,73.71875,16.09375,0.0
13.9,17.8,15.559375,81.95833333333333,15.729166666666666,0.0
13.6,20.5,16.628125,79.1875,7.1875,0.0
13.3,17.3,14.860416666666667,90.10416666666669,2.177083333333333,1.0
12.6,16.1,14.267708333333337,93.34375,2.4375,1.0
12.7,17.0,14.082105263157896,94.27368421052633,3.0,1.0
12.5,15.3,13.509375,93.05208333333331,5.010416666666667,1.0
11.4,16.2,13.869791666666666,90.34375,2.9166666666666665,0.0
8.7,23.7,16.219791666666666,77.34375,3.7916666666666665,0.0
13.4,24.1,18.190625,67.45833333333333,4.541666666666667,0.0
14.0,21.0,16.427083333333332,82.1875,3.364583333333333,0.0
12.9,19.2,14.887234042553192,88.84042553191489,3.351063829787234,1.0
10.4,17.2,13.590625,82.10416666666667,5.3125,1.0
